<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>When you buy a new car you’ve just bought a car with a lifetime warranty<|endoftext|> 
<|showerthought|>The only way you know someone is a good liar is when you have to lie to them<|endoftext|> 
<|showerthought|>The last word you ever said in a sentence will always be the last word spoken in that sentence.<|endoftext|> 
<|showerthought|>Since your heart beats at a rate of 1 beat per minute, the average human has a heart rate of about 1.5 beats per minute.<|endoftext|> 
<|showerthought|>When people think of "the past," they think of a past they can't remember<|endoftext|> 
<|showerthought|>You can never see yourself blink.<|endoftext|> 
<|showerthought|>If you go to the gym and get a tattoo of a penis, you’re technically a bodybuilder.<|endoftext|> 
<|showerthought|>The human race has been in existence since before there were humans.<|endoftext|> 
<|showerthought|>The reason we don't have a "right" to be left alone is probably because we don't know what we don't want to do.<|endoftext|> 
<|showerthought|>Since we are made of water, we are all made of water<|endoftext|> 
<|showerthought|>Cats can’t be considered pets because they are not a part of the family, yet we all have pets.<|endoftext|> 
<|showerthought|>We have never seen the inside of a person’s mouth.<|endoftext|> 
<|showerthought|>A lot of people have never seen a real-life movie, tv show or game. They just see a trailer.<|endoftext|> 
<|showerthought|>All the people who have been in your life are your parents.<|endoftext|> 
<|showerthought|>If the Earth is flat then there is no way to see it.<|endoftext|> 
<|showerthought|>There were probably people who were born with a penis and had to have it surgically removed<|endoftext|> 
<|showerthought|>You know something is bad when it's a little more difficult to find a good place to put it<|endoftext|> 
<|showerthought|>You have never seen a full-grown human in your lifetime<|endoftext|> 
<|showerthought|>If you think about how many things are out there, you probably don't know what they are<|endoftext|> 
<|showerthought|>If someone says "I'm going to kill you" then you're technically going to kill them.<|endoftext|> 
<|showerthought|>In the Star Wars universe, the Death Star is probably the only place where you can see your parents' faces<|endoftext|> 
<|showerthought|>If you can’t get a job, it’s either because your a bad person, or your a good one<|endoftext|> 
<|showerthought|>There's an infinite amount of things you could do with a pencil but not with an eraser.<|endoftext|> 
<|showerthought|>It's likely that at least one person in the world has been the youngest person alive.<|endoftext|> 
<|showerthought|>When you put a lot of money into a lottery, you are paying a lot of money to win a lot of money<|endoftext|> 
<|showerthought|>If you’re a guy and you’re wearing a bikini, you’re a man in a bikini. If you’re wearing a bikini with a man’s penis in it, you’re a man in a man’s pants.<|endoftext|> 
<|showerthought|>Actors who play characters who are not real people have to pretend to be people to get the job done<|endoftext|> 
<|showerthought|>The most realistic thing about the world is that we can't imagine the future.<|endoftext|> 
<|showerthought|>If we have to wait for our next breath, it is because our body is tired and our mind is tired.<|endoftext|> 
<|showerthought|>In a world of unlimited possibilities there is only one true way to live, and it’s to be happy.<|endoftext|> 
<|showerthought|>If you don't have a job, then you don't need a salary. If you don't have a job, then you don't have a salary.<|endoftext|> 
<|showerthought|>The average size of a human body is around 2.5 meters, and we have a very high chance to be the smallest human alive, but it's impossible.<|endoftext|> 
<|showerthought|>There's a chance that the person you were talking to on the phone was the last person you saw alive in your life.<|endoftext|> 
<|showerthought|>In the future, the only thing you can do with a phone is scroll through your phone's history<|endoftext|> 
<|showerthought|>The biggest mistake a person can make is not knowing what to do with their body.<|endoftext|> 
<|showerthought|>It doesn't matter how good a person is at something, it matters how much you hate that person.<|endoftext|> 
<|showerthought|>Since our ancestors had to go through a lot of pain to make their food taste good, we’re all just eating ass.<|endoftext|> 
<|showerthought|>It’s possible for you to be in the background of someone’s photo and never know it<|endoftext|> 
<|showerthought|>You could be the only human on the planet that has ever touched the inside of your mouth<|endoftext|> 
<|showerthought|>You can only be in one place at once.<|endoftext|> 
<|showerthought|>If you think you are a genius, you are probably a genius in a way<|endoftext|> 
<|showerthought|>Every day is a birthday<|endoftext|> 
<|showerthought|>The only reason you can't get a free ride on the bus is because the driver has to be a jerk to get you.<|endoftext|> 
<|showerthought|>You can do anything you want to someone who is in a coma.<|endoftext|> 
<|showerthought|>It’s possible to have a good life without being able to afford to have a good life<|endoftext|> 
<|showerthought|>There are two types of people, those that think the world is flat and those that think the world is round.<|endoftext|> 
<|showerthought|>There’s probably a person out there who has the exact same voice as you.<|endoftext|> 
<|showerthought|>A good way to get a job as a security guard is to get hired as a janitor.<|endoftext|> 
<|showerthought|>Most people have probably never been to their own house<|endoftext|> 
<|showerthought|>Some people probably don't know that the first person to ever touch a penis was a woman<|endoftext|> 
<|showerthought|>Doorbell rings sound more like a doorbell than a doorbell<|endoftext|> 
<|showerthought|>The first person to use the word "cute" probably had a crush on a girl<|endoftext|> 
<|showerthought|>It’s a good thing that we can't see our own eyes.<|endoftext|> 
<|showerthought|>Some people get so excited about the fact that they are going to die that they forget that they are going to die<|endoftext|> 
<|showerthought|>If we were all born in the same year, the year in our birth year is the same as our death year. If we were all born in a different year, our death year would be the same as the year in our birth year.<|endoftext|> 
<|showerthought|>Darth Vader could've just used the Force to turn the lights on and off.<|endoftext|> 
<|showerthought|>If you don’t know the meaning of the word “bless”, it’s probably not a good sign.<|endoftext|> 
<|showerthought|>Sitting on the couch is the same as standing on the bed and not moving your legs.<|endoftext|> 
<|showerthought|>We are going to be the first generation that will have to explain why we have to use our phones when we go to the gym<|endoftext|> 
<|showerthought|>It's a shame that we can't see the sun in the morning<|endoftext|> 
<|showerthought|>It’s possible that a human could be a clone of a dinosaur and have the ability to fly.<|endoftext|> 
<|showerthought|>We live in an era of the internet where the only way to know if you're being watched is to watch it<|endoftext|> 
<|showerthought|>There is a chance that someone out there has been in a dream and they have no idea it<|endoftext|> 
<|showerthought|>We’re all in the same boat, but the boat is not ours.<|endoftext|> 
<|showerthought|>People would die if they were born with the ability to fly.<|endoftext|> 
<|showerthought|>If a person is born deaf, they can't speak.<|endoftext|> 
<|showerthought|>You don’t need a license to drive a motor vehicle, just a license to operate a vehicle<|endoftext|> 
<|showerthought|>Doorbells have probably saved a lot of lives by not ringing when you're not supposed to be there<|endoftext|> 
<|showerthought|>A dog's nose is the only part that you can lick without getting it dirty.<|endoftext|> 
<|showerthought|>We all have a secret to a good life but it is not a secret to a good death<|endoftext|> 
<|showerthought|>Most of the people you see on the road are probably dead.<|endoftext|> 
<|showerthought|>When you get a haircut, you're technically getting a haircut<|endoftext|> 
<|showerthought|>Your brain can’t tell if a person is an idiot or not, but it can tell if they’re a psychopath<|endoftext|> 
<|showerthought|>The world doesn't end when you die<|endoftext|> 
<|showerthought|>If your wife has an STD and you have sex with her, it’s a double whammy.<|endoftext|> 
<|showerthought|>When your phone is on silent mode, you can't see the screen<|endoftext|> 
<|showerthought|>It is easier to get a new phone than it is to get a new car, yet we don't buy new cars.<|endoftext|> 
<|showerthought|>You know you've made it as an adult when you don’t need to be told to stop doing something.<|endoftext|> 
<|showerthought|>You don't know how much you've forgotten about something until you've forgotten about how much of it you've remembered<|endoftext|> 
<|showerthought|>If you put a lot of effort into a hobby, you’ll end up with a lot of money. If you put a lot of effort into a hobby, you’ll end up with a ton.<|endoftext|> 
<|showerthought|>The more the number is, the less the number is<|endoftext|> 
<|showerthought|>No human has seen a complete circle<|endoftext|> 
<|showerthought|>It’s possible that the reason why the world is so messed up is because we have no concept of the concept of a ‘real’ world<|endoftext|> 
<|showerthought|>The first woman to have sex with a man must have been really confused and scared.<|endoftext|> 
<|showerthought|>It’s a shame that the first human to ever live on earth had no idea what a human was<|endoftext|> 
<|showerthought|>There is no such thing as a perfect person.<|endoftext|> 
<|showerthought|>If you're a guy and your girlfriend is your best friend, you’re a friend to both of them.<|endoftext|> 
<|showerthought|>The older a person is, the less likely they are to get a job.<|endoftext|> 
<|showerthought|>If you take a photo of someone in a mirror you’re basically just taking a photo of the mirror itself<|endoftext|> 
<|showerthought|>The number 1 on a clock is always the first number.<|endoftext|> 
<|showerthought|>If you can see the inside of your eyelids, you are seeing the inside of your eyelids<|endoftext|> 
<|showerthought|>There will never be an exact number of people who have seen the same movie or tv show twice.<|endoftext|> 
<|showerthought|>When you take your shirt off, you are actually wearing your underwear.<|endoftext|> 
<|showerthought|>If you're a guy and your partner is a woman and they have sex, you're both technically a lesbian<|endoftext|> 
<|showerthought|>When we are young and we are scared of something that we can't see we are scared of the unknown. When we grow up and we are scared of something that we can't see, we are scared of the unknown.<|endoftext|> 
<|showerthought|>Somehow the most popular song in the world is the one with the least amount of people singing it.<|endoftext|> 
<|showerthought|>Dogs probably think that we are the ones who have the most power over them<|endoftext|> 
<|showerthought|>We are more likely to be killed by a shark than a shark by a human<|endoftext|> 
<|showerthought|>When you’re a kid you don’t know what a ‘pizza’ is. When you’re a teenager you’re probably not even sure what a ‘pizza’ is. When you’re an adult you don’t know what a ‘pizza’ is.<|endoftext|> 
<|showerthought|>The older you get the more people you’ll meet in the world.<|endoftext|> 
<|showerthought|>The amount of people who are willing to pay to see a porn video with a good quality is probably way higher than the amount of people willing to pay to watch a porn video with a bad quality.<|endoftext|> 
<|showerthought|>A lot of the people who are most likely to be the last to die in a movie are the most likely to die on screen.<|endoftext|> 
<|showerthought|>When you eat a burger, you’re actually eating a burger with the inside of the burger inside of you<|endoftext|> 
<|showerthought|>It’s not a bad thing that we don’t have to pay for the air conditioning<|endoftext|> 
<|showerthought|>You’ll never see a man with a penis in a bikini.<|endoftext|> 
<|showerthought|>People who were born in 1999 are older than people born in 1999.<|endoftext|> 
<|showerthought|>It must have been very hard for a person who was blind to hear their own heartbeat.<|endoftext|> 
<|showerthought|>If the universe is infinite, there must be an exact spot on the Earth where you’re standing and you’re not.<|endoftext|> 
<|showerthought|>The only reason we don't have a "new year's resolution" is because we're too busy trying to get the next year's resolution.<|endoftext|> 
<|showerthought|>The difference between a good person and an evil person is that the latter is willing to do something to help someone.<|endoftext|> 
<|showerthought|>If you're a woman and a woman is a man, you're both a woman and a man<|endoftext|> 
<|showerthought|>If you get an email with your username and email address, it’s probably from your ex. If you get a message from your ex, it’s probably from your ex.<|endoftext|> 
<|showerthought|>People will always be able to tell when you are having a bad day because you are having a bad day.<|endoftext|> 
<|showerthought|>The world is a better place because of the people that have been born.<|endoftext|> 
<|showerthought|>The fact that we can’t see the sun is proof that the universe is infinite<|endoftext|> 
<|showerthought|>It's amazing how we can't see our eyes when we are blind<|endoftext|> 
<|showerthought|>The people who are afraid of the dark, the ones who are scared of the unknown, are also the ones who are the most likely to get hurt.<|endoftext|> 
<|showerthought|>People will look at you and think you’re a loser if you’re a loser. But if you’re a winner, you’re a winner.<|endoftext|> 
<|showerthought|>A lot of people have probably been in a coma and never woke up because of a dream.<|endoftext|> 
<|showerthought|>The way a person looks is a reflection of their personality<|endoftext|> 
<|showerthought|>It's funny how the word ‘bitch’ is the opposite of ‘bitchy’.<|endoftext|> 
<|showerthought|>The people you see in the street are the ones that you’ve been to before.<|endoftext|> 
<|showerthought|>Sleeping is an act of surrender. It's the only way we can get out of a situation we’re in.<|endoftext|> 
<|showerthought|>A lot of people are probably really good at something that they’re really good at not being good at.<|endoftext|> 
<|showerthought|>A lot of people have never seen a human being with a full beard.<|endoftext|> 
<|showerthought|>If a man gets his penis in the ass and he doesn't get a blow job, then technically he is a pervert<|endoftext|> 
<|showerthought|>There's no such thing as a "good guy with a gun" because the good guy always wins.<|endoftext|> 
<|showerthought|>All the famous people in history were probably just a bunch of kids that got into a fight and got arrested.<|endoftext|> 
<|showerthought|>It's impossible to be a good person without being a bad person<|endoftext|> 
<|showerthought|>A car in a garage is a car in an apartment complex.<|endoftext|> 
<|showerthought|>Most of us don't know what the word "bisexual" means<|endoftext|> 
<|showerthought|>Cats don't know they are cute, they just know that they are cute<|endoftext|> 
<|showerthought|>The fact that you can't see the inside of your eyelids is the most terrifying thing about your eyes.<|endoftext|> 
<|showerthought|>The most difficult thing to do in a game is not to die.<|endoftext|> 
<|showerthought|>In the movie "The Big Lebowski" the guy who was the main protagonist was a schizophrenic schizophrenic.<|endoftext|> 
<|showerthought|>We’re all just living in the past.<|endoftext|> 
<|showerthought|>It’s not a bad thing to have a bad memory. It’s a bad thing to have a good memory.<|endoftext|> 
<|showerthought|>The difference between an idiot and a genius is how much you know.<|endoftext|> 
<|showerthought|>The more you know about the past, the more you realize how little you know about the future<|endoftext|> 
<|showerthought|>A good percentage of all the people who have been to space will never see Earth.<|endoftext|> 
<|showerthought|>The only thing that is more annoying than having your phone in the pocket of your shirt is having your phone in your pants.<|endoftext|> 
<|showerthought|>It's a lot more likely to get an email from a friend than a stranger.<|endoftext|> 
<|showerthought|>People who have been to space probably have a lot of space to play with<|endoftext|> 
<|showerthought|>We all think we're special, but in reality we're not.<|endoftext|> 
<|showerthought|>People that do the most good for the environment are also the least likely to do the most good for themselves.<|endoftext|> 
<|showerthought|>The first human to die in space probably thought it was a meteor.<|endoftext|> 
<|showerthought|>You are what you eat, and if you are a cannibal, your food is what you eat, so if you eat a human you are eating human.<|endoftext|> 
<|showerthought|>A lot of people don't like their own voice.<|endoftext|> 
<|showerthought|>It's a good thing the sun doesn't have a light pollution problem.<|endoftext|> 
<|showerthought|>Since the world is a computer, the universe is a computer.<|endoftext|> 
<|showerthought|>Dogs could be the only species that can be domesticated by humans.<|endoftext|> 
<|showerthought|>We never notice when a car is parked in the middle of the street<|endoftext|> 
<|showerthought|>If you were born in the year 2000, you’re technically in the year 2000’s<|endoftext|> 
<|showerthought|>Your parents probably have the exact same birthday as you.<|endoftext|> 
<|showerthought|>Cats are so smart that they can understand the difference between a cat and a mouse<|endoftext|> 
<|showerthought|>There might be a planet out there that has no water, yet it's water is so cold it's frozen solid.<|endoftext|> 
<|showerthought|>The word ‘cringe’ is cringe in the same way that ‘cringe’ is cringe in the context of a joke.<|endoftext|> 
<|showerthought|>There is probably someone who has been the only person who has ever been in their house<|endoftext|> 
<|showerthought|>We all have a unique way to make the sound of the wind, and it’s probably a lot like a different language.<|endoftext|> 
<|showerthought|>Most kids in elementary school have no idea what a "pumpkin" is.<|endoftext|> 
<|showerthought|>It's impossible to know how many people have died in your lifetime, but you can probably guess at how often someone has died.<|endoftext|> 
<|showerthought|>When a girl is in a relationship, the guy is technically her ex-boyfriend<|endoftext|> 
<|showerthought|>There’s probably a lot of people that’s never heard the song “Ironic”<|endoftext|> 
<|showerthought|>There’s a good chance you’ve seen the exact same thing twice<|endoftext|> 
<|showerthought|>In a world where you can't be a millionaire, there are probably people that have made more money than you.<|endoftext|> 
<|showerthought|>You could just be the one person who has the most experience of everything.<|endoftext|> 
<|showerthought|>The most important part about a car's interior is the seats, but the most important part about a house is the roof.<|endoftext|> 
<|showerthought|>People who think that the world is flat probably have never seen a flat surface.<|endoftext|> 
<|showerthought|>Saying “I’ll be there” is a lot more believable than saying “I’ll be there in a minute”.<|endoftext|> 
<|showerthought|>Somewhere out there, someone is thinking about how to make a new word.<|endoftext|> 
<|showerthought|>You can't be a good person and a good person can only be a good person.<|endoftext|> 
<|showerthought|>It's more likely that you have been in a coma for a year than a year and half<|endoftext|> 
<|showerthought|>Soda is made out of sugar and water.<|endoftext|> 
<|showerthought|>The more you learn about a subject, you’re learning more about yourself<|endoftext|> 
<|showerthought|>You're always in the background of your photos<|endoftext|> 
<|showerthought|>If you’re a man and you get your first erection, you’ve had sex with a woman.<|endoftext|> 
<|showerthought|>If you want a new car, you have to buy it from the dealer, not from the car manufacturer.<|endoftext|> 
<|showerthought|>When someone does something stupid, they’re either a good person or a bad person.<|endoftext|> 
<|showerthought|>If a woman has a child, she’s technically giving birth to her future self.<|endoftext|> 
<|showerthought|>It's impossible for you to be a good liar.<|endoftext|> 
<|showerthought|>The more we learn about the human body, the more we realize how much we have in common with other animals.<|endoftext|> 
<|showerthought|>If our bodies could talk, we would probably have a lot of different languages<|endoftext|> 
<|showerthought|>When you take a dump you are literally taking your last shit<|endoftext|> 
<|showerthought|>When your friends and family get upset when you don't do your homework, they're probably just jealous of you.<|endoftext|> 
<|showerthought|>It's amazing how much people hate to be told to "be yourself".<|endoftext|> 
<|showerthought|>If you've never had a pet, it’s likely you've seen more people die than you have.<|endoftext|> 
<|showerthought|>If we were to go back in time and see how the world looked like, we’d see the world in the same way we see the present<|endoftext|> 
<|showerthought|>The world was made by a single atom.<|endoftext|> 
<|showerthought|>Every person in the world has a different opinion about what the world looks like.<|endoftext|> 
<|showerthought|>We’re lucky that the sun doesn’t shine on our faces.<|endoftext|> 
<|showerthought|>The more people you meet, the less likely you are to be alone in the dark.<|endoftext|> 
<|showerthought|>The reason you can’t see a reflection is because you’re blind.<|endoftext|> 
<|showerthought|>You can never be sure that you are the last person to see your house<|endoftext|> 
<|showerthought|>We don't know what it’s like to be blind. We just know that it’s better than being blind<|endoftext|> 
<|showerthought|>You can have an orgasm with a penis, but not a vagina<|endoftext|> 
<|showerthought|>If you go to a restaurant, you're eating at a restaurant<|endoftext|> 
<|showerthought|>People don’t like the idea of being told they have a bad attitude, but they’re fine being told that they have a good one.<|endoftext|> 
<|showerthought|>A person with a big dick is a man who is good at getting off<|endoftext|> 
<|showerthought|>All you need to do is make a good impression on someone and you'll get a good job.<|endoftext|> 
<|showerthought|>No one knows how many people have died in the past 24 hours.<|endoftext|> 
<|showerthought|>A person’s age is the number of years they have been alive<|endoftext|> 
<|showerthought|>There is a chance that someone you know has a crush on you but they are not attracted to you.<|endoftext|> 
<|showerthought|>If you have an erection and you are not circumcised, your penis is circumcised<|endoftext|> 
<|showerthought|>We use the word "dumb" to describe people, yet we use it to describe people that are dumb.<|endoftext|> 
<|showerthought|>You can't be a millionaire if you can’t afford to buy food<|endoftext|> 
<|showerthought|>We can’t be certain that the sun is the center of the universe, because the universe has a circumference, and we can't know what the circumference is.<|endoftext|> 
<|showerthought|>The more you think you know something, the harder it becomes to prove that you don't<|endoftext|> 
<|showerthought|>A lot of the things we do in our lives are for the sole purpose of making our parents feel good.<|endoftext|> 
<|showerthought|>If we could see the future with our eyes we would probably be more interested.<|endoftext|> 
<|showerthought|>We know the difference between a "good night" and "good night", but we don't know what the difference is between "good day" and "good day".<|endoftext|> 
<|showerthought|>If you're a guy, you're probably a virgin, and if you're a girl, you're probably not.<|endoftext|> 
<|showerthought|>The word “bitch” is used to describe a person but the word “woman” is used for a man.<|endoftext|> 
<|showerthought|>You're always the youngest person on earth, but the oldest person on earth is always the youngest<|endoftext|> 
<|showerthought|>If we had to choose between a good life and a bad one, we’d probably choose a bad life<|endoftext|> 
<|showerthought|>There's probably a lot of people who have never heard of a song they like.<|endoftext|> 
<|showerthought|>It's more likely that someone is a serial killer than it is that they are not.<|endoftext|> 
<|showerthought|>When looking at a mirror, you are looking at the reflection of your reflection.<|endoftext|> 
<|showerthought|>Somebody probably had a really good idea about how to make a better condom but forgot to tell anyone.<|endoftext|> 
<|showerthought|>If you look at the sun from a certain perspective, you can see the whole universe.<|endoftext|> 
<|showerthought|>When we get to a point where we can't get any more money, we will start getting more money.<|endoftext|> 
<|showerthought|>If a kid is born with a disability, he is technically a robot<|endoftext|> 
<|showerthought|>A man with a penis is a man who has had sex with a woman.<|endoftext|> 
<|showerthought|>All animals that live in the wild have probably eaten the same food at least once.<|endoftext|> 
<|showerthought|>The average person is a little bit more than a quarter of an inch tall<|endoftext|> 
<|showerthought|>A human can't be a robot, because they are a machine.<|endoftext|> 
<|showerthought|>Some day in the future there will be a generation of people that will be able to watch the entire history of the universe in their heads<|endoftext|> 
<|showerthought|>Your best friend is your best enemy<|endoftext|> 
<|showerthought|>Most of your life is spent in a state of complete boredom.<|endoftext|> 
<|showerthought|>The only problem with a good relationship is when you have to leave it.<|endoftext|> 
<|showerthought|>You probably have a lot of friends who are dead<|endoftext|> 
<|showerthought|>People are not allowed to have a dog but they can have a cat. Dogs can have cats but cats can’t have dogs.<|endoftext|> 
<|showerthought|>It’s not the number of people in the world, but the number of people that have ever lived that matters.<|endoftext|> 
<|showerthought|>There are two ways to look at a mirror. One is the way it looks when you are looking at it, the other is when you are looking at it.<|endoftext|> 
<|showerthought|>We use the word “toxic” to describe a substance that is toxic to humans, yet we use the word “non toxic” to describe a non-toxic substance.<|endoftext|> 
<|showerthought|>The fact that we have to wait until we are old to start using a new phone is a huge missed opportunity.<|endoftext|> 
<|showerthought|>If you're in a car accident, you're either the first or last person to die in that accident.<|endoftext|> 
<|showerthought|>People who think they’re being a good person are probably the ones who’re the most evil people<|endoftext|> 
<|showerthought|>The amount of money you spend on a house is the amount of money you can afford to lose<|endoftext|> 
<|showerthought|>You’ve probably never seen your face with a mirror<|endoftext|> 
<|showerthought|>The human body has the ability to produce a lot more heat than we think<|endoftext|> 
<|showerthought|>A blind man is technically a blind person<|endoftext|> 
<|showerthought|>We always tell people to "get out and get out of the car," but never "get out and get in the car."<|endoftext|> 
<|showerthought|>If your life is a game, you’re either really good or really bad at it.<|endoftext|> 
<|showerthought|>We don't know how the universe started, we don't know what the universe is, and we don't know what the universe is doing, so there's no reason to believe that we are the universe.<|endoftext|> 
<|showerthought|>Since there's no way to know if the universe has a beginning or an end, we are all just living out the story of our universe.<|endoftext|> 
<|showerthought|>You might be the only human in the world who has seen your face.<|endoftext|> 
<|showerthought|>The amount of people who don’t know what “tough love” is is probably higher than the amount who do.<|endoftext|> 
<|showerthought|>You might be the only person who knows what you look like, and you probably wouldn't even know it<|endoftext|> 
<|showerthought|>The more people who are willing to do something for you, the less likely it is you'll get something back.<|endoftext|> 
<|showerthought|>Your parents may have been the only person in their family who had a crush on you<|endoftext|> 
<|showerthought|>When a pregnant women is on her period, she is technically on her period.<|endoftext|> 
